line_id,line_name,local_index,display_code,global_id,station_name,distance_to_next_m
1,line1,1,101,0,八卦洲大桥南,1370
1,line1,2,102,1,笆斗山,1292
1,line1,3,103,2,燕子矶,1115
1,line1,4,104,3,吉祥庵,1007
1,line1,5,105,4,晓庄,1910
1,line1,6,106,5,迈皋桥,1142
1,line1,7,107,6,红山动物园,1122
1,line1,8,108,7,南京站,1691
1,line1,9,109,8,新模范马路,1061
1,line1,10,110,9,玄武门,1254
1,line1,11,111,10,鼓楼,862
1,line1,12,112,11,珠江路,1147
1,line1,13,113,12,新街口,1125
1,line1,14,114,13,张府园,906
1,line1,15,115,14,三山街·工商银行,1914
1,line1,16,116,15,中华门,2093
1,line1,17,117,16,安德门,1455
1,line1,18,118,17,天隆寺,1283
1,line1,19,119,18,软件大道,1075
1,line1,20,120,19,花神庙,1853
1,line1,21,121,20,南京南站,2276
1,line1,22,122,21,双龙大道,1345
1,line1,23,123,22,河定桥,904
1,line1,24,124,23,胜太路,1332
1,line1,25,125,24,百家湖,1475
1,line1,26,126,25,小龙湾,1115
1,line1,27,127,26,竹山路,1919
1,line1,28,128,27,天印大道,1312
1,line1,29,129,28,龙眠大道,1550
1,line1,30,130,29,南医大·江苏经贸学院,2170
1,line1,31,131,30,南京交院,1964
1,line1,32,132,31,中国药科大学,
2,line2,1,201,32,鱼嘴,446
2,line2,2,202,33,天保街,1058
2,line2,3,203,34,青莲街,672
2,line2,4,204,35,螺塘路,1103
2,line2,5,205,36,油坊桥,2631
2,line2,6,206,37,雨润大街,1622
2,line2,7,207,38,元通·华夏银行,1262
2,line2,8,208,39,奥体东,1379
2,line2,9,209,40,兴隆大街,1473
2,line2,10,210,41,集庆门大街,1312
2,line2,11,211,42,云锦路,1257
2,line2,12,212,43,莫愁湖,1002
2,line2,13,213,44,汉中门,874
2,line2,14,214,45,上海路·省中医院,745
2,line2,15,215,12,新街口,1022
2,line2,16,216,46,大行宫,1024
2,line2,17,217,47,西安门·浦发银行,1300
2,line2,18,218,48,明故宫,1521
2,line2,19,219,49,苜蓿园,1307
2,line2,20,220,50,下马坊,937
2,line2,21,221,51,孝陵卫,1168
2,line2,22,222,52,钟灵街,2779
2,line2,23,223,53,马群,3015
2,line2,24,224,54,金马路,1675
2,line2,25,225,55,仙鹤门,1326
2,line2,26,226,56,学则路,1519
2,line2,27,227,57,仙林中心,1066
2,line2,28,228,58,中医药大学·羊山公园,1947
2,line2,29,229,59,南大仙林校区,1846
2,line2,30,230,60,经天路,
3,line3,1,301,61,林场,2537
3,line3,2,302,62,星火路,1049
3,line3,3,303,63,东大成贤学院,1127
3,line3,4,304,64,泰冯路,1407
3,line3,5,305,65,天润城,1854
3,line3,6,306,66,柳洲东路,3535
3,line3,7,307,67,上元门,961
3,line3,8,308,68,五塘广场,1845
3,line3,9,309,69,小市,1379
3,line3,10,310,7,南京站,2017
3,line3,11,311,70,南京林业大学·新庄,2851
3,line3,12,312,71,鸡鸣寺,858
3,line3,13,313,72,浮桥,859
3,line3,14,314,46,大行宫,931
3,line3,15,315,73,常府街,1067
3,line3,16,316,74,夫子庙,1308
3,line3,17,317,75,武定门,1143
3,line3,18,318,76,雨花门,977
3,line3,19,319,77,卡子门,1153
3,line3,20,320,78,大明路,1137
3,line3,21,321,79,明发广场,1222
3,line3,22,322,20,南京南站,1105
3,line3,23,323,80,宏运大道,1826
3,line3,24,324,81,胜太西路,1791
3,line3,25,325,82,天元西路,2343
3,line3,26,326,83,九龙湖,1526
3,line3,27,327,84,诚信大道,1301
3,line3,28,328,85,东大九龙湖校区,2995
3,line3,29,329,86,秣周东路,1600
3,line3,30,330,87,上秦淮西,1700
3,line3,31,331,88,秣陵,
4,line4,1,401,89,龙江,1574
4,line4,2,402,90,草场门・南艺・二师,1282
4,line4,3,403,91,云南路,821
4,line4,4,404,10,鼓楼,1359
4,line4,5,405,71,鸡鸣寺,807
4,line4,6,406,92,九华山,1391
4,line4,7,407,93,岗子村,2018
4,line4,8,408,94,蒋王庙,1128
4,line4,9,409,95,王家湾,2749
4,line4,10,410,96,聚宝山,2569
4,line4,11,411,97,徐庄・苏宁总部,2564
4,line4,12,412,54,金马路,3233
4,line4,13,413,98,汇通路,1187
4,line4,14,414,99,灵山,1938
4,line4,15,415,100,东流,2454
4,line4,16,416,101,孟北,2185
4,line4,17,417,102,西岗桦墅,3212
4,line4,18,418,103,仙林湖,
5,line5,1,501,104,吉印大道,1768
5,line5,2,502,105,九龙湖南,3095
5,line5,3,503,84,诚信大道,1197
5,line5,4,504,106,前庄,2425
5,line5,5,505,107,科宁路,946
5,line5,6,506,26,竹山路,1184
5,line5,7,507,108,新亭路,1185
5,line5,8,508,109,东山,640
5,line5,9,509,110,文靖路,1431
5,line5,10,510,111,东山香樟园,2817
5,line5,11,511,112,神机营,1020
5,line5,12,512,113,大校场,1215
5,line5,13,513,114,七桥瓮,932
5,line5,14,514,115,石门坎,1532
5,line5,15,515,116,光华门,1011
5,line5,16,516,117,通济门,1357
5,line5,17,517,74,夫子庙,771
5,line5,18,518,14,三山街·工商银行,1641
5,line5,19,519,118,朝天宫,1043
5,line5,20,520,45,上海路·省中医院,1053
5,line5,21,521,119,五台山,1107
5,line5,22,522,91,云南路,1035
5,line5,23,523,120,青春广场,1012
5,line5,24,524,121,虹桥,712
5,line5,25,525,122,福建路,987
5,line5,26,526,123,盐仓桥,1044
5,line5,27,527,124,下关,758
5,line5,28,528,125,静海寺,634
5,line5,29,529,126,南京西站,1013
5,line5,30,530,127,方家营,
